"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 23 12:41:57 COT 2022","Sat Jul 23 12:42:02 COT 2022","4600","","tests\homepage_functionality\remove_items_from_cart.spec.ts","","","","Remove Items from Cart",""
"passed","Sat Jul 23 12:33:55 COT 2022","Sat Jul 23 12:33:56 COT 2022","750","","tests\login_functionality\performance_glitch_user.spec.ts","","","","test",""
"passed","Sat Jul 23 12:41:57 COT 2022","Sat Jul 23 12:42:03 COT 2022","6596","","tests\homepage_functionality\burger_menu_operation.spec.ts","","","","Burger Menu is Operational",""
"passed","Sat Jul 23 12:41:57 COT 2022","Sat Jul 23 12:42:02 COT 2022","4713","","tests\homepage_functionality\dropdown_menu_product_sorting.spec.ts","","","","Sorting Products is Successful",""
"passed","Sat Jul 23 12:33:54 COT 2022","Sat Jul 23 12:33:55 COT 2022","764","","tests\login_functionality\locked_out_user.spec.ts","","","","test",""
"passed","Sat Jul 23 12:42:02 COT 2022","Sat Jul 23 12:42:03 COT 2022","748","","tests\login_functionality\standard_user.spec.ts","","","","Successful log in to SwagLabs",""
"passed","Sat Jul 23 12:33:55 COT 2022","Sat Jul 23 12:33:56 COT 2022","708","","tests\login_functionality\problem_user.spec.ts","","","","test",""
"passed","Sat Jul 23 12:42:02 COT 2022","Sat Jul 23 12:42:02 COT 2022","722","","tests\login_functionality\problem_user.spec.ts","","","","Logging into SwagLabs as Problem User",""
"passed","Sat Jul 23 12:42:01 COT 2022","Sat Jul 23 12:42:01 COT 2022","739","","tests\login_functionality\locked_out_user.spec.ts","","","","Logging into SwagLabs as Locked Out User",""
"passed","Sat Jul 23 12:42:02 COT 2022","Sat Jul 23 12:42:03 COT 2022","1185","","tests\successful_product_purchase\successful_purchase.spec.ts","","","","Successful Product Purchase",""
"passed","Sat Jul 23 12:42:01 COT 2022","Sat Jul 23 12:42:02 COT 2022","765","","tests\login_functionality\performance_glitch_user.spec.ts","","","","Logging into SwagLabs as Performance Glitch User",""
"passed","Sat Jul 23 12:41:57 COT 2022","Sat Jul 23 12:42:01 COT 2022","3966","","tests\homepage_functionality\add_items_to_cart.spec.ts","","","","Adding Items to Cart",""
